GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37017950501,Census Tract 9505.01; Bladen County; North Carolina,59000,47200,70800
1400000US37017950502,Census Tract 9505.02; Bladen County; North Carolina,46932,37545.6,56318.4
1400000US37017950601,Census Tract 9506.01; Bladen County; North Carolina,33333,26666.4,39999.6
1400000US37017950602,Census Tract 9506.02; Bladen County; North Carolina,32543,26034.4,39051.6
1400000US37019020101,Census Tract 201.01; Brunswick County; North Carolina,40928,32742.4,49113.6
1400000US37019020102,Census Tract 201.02; Brunswick County; North Carolina,74375,59500,89250
1400000US37019020105,Census Tract 201.05; Brunswick County; North Carolina,87188,69750.4,104625.6
1400000US37019020106,Census Tract 201.06; Brunswick County; North Carolina,58893,47114.4,70671.6
1400000US37019020107,Census Tract 201.07; Brunswick County; North Carolina,67641,54112.8,81169.2
1400000US37019020108,Census Tract 201.08; Brunswick County; North Carolina,59524,47619.2,71428.8
1400000US37019020201,Census Tract 202.01; Brunswick County; North Carolina,69309,55447.2,83170.8
1400000US37019020203,Census Tract 202.03; Brunswick County; North Carolina,82083,65666.4,98499.6
1400000US37019020204,Census Tract 202.04; Brunswick County; North Carolina,57908,46326.4,69489.6
1400000US37019020205,Census Tract 202.05; Brunswick County; North Carolina,91214,72971.2,109456.8
1400000US37019020206,Census Tract 202.06; Brunswick County; North Carolina,63125,50500,75750
1400000US37019020304,Census Tract 203.04; Brunswick County; North Carolina,102061,81648.8,122473.2
1400000US37019020305,Census Tract 203.05; Brunswick County; North Carolina,66016,52812.8,79219.2
1400000US37019020306,Census Tract 203.06; Brunswick County; North Carolina,71163,56930.4,85395.6
1400000US37019020307,Census Tract 203.07; Brunswick County; North Carolina,158750,127000,190500
1400000US37019020308,Census Tract 203.08; Brunswick County; North Carolina,94792,75833.6,113750.4
1400000US37019020311,Census Tract 203.11; Brunswick County; North Carolina,70788,56630.4,84945.6
1400000US37019020312,Census Tract 203.12; Brunswick County; North Carolina,71092,56873.6,85310.4
1400000US37019020313,Census Tract 203.13; Brunswick County; North Carolina,94018,75214.4,112821.6
1400000US37019020314,Census Tract 203.14; Brunswick County; North Carolina,137120,109696,164544
1400000US37019020315,Census Tract 203.15; Brunswick County; North Carolina,75052,60041.6,90062.4
1400000US37019020316,Census Tract 203.16; Brunswick County; North Carolina,120263,96210.4,144315.6
1400000US37019020404,Census Tract 204.04; Brunswick County; North Carolina,46220,36976,55464
1400000US37019020405,Census Tract 204.05; Brunswick County; North Carolina,56287,45029.6,67544.4
1400000US37019020406,Census Tract 204.06; Brunswick County; North Carolina,106375,85100,127650
1400000US37019020407,Census Tract 204.07; Brunswick County; North Carolina,86964,69571.2,104356.8
1400000US37019020408,Census Tract 204.08; Brunswick County; North Carolina,39063,31250.4,46875.6
1400000US37019020409,Census Tract 204.09; Brunswick County; North Carolina,59821,47856.8,71785.2
1400000US37019020504,Census Tract 205.04; Brunswick County; North Carolina,86250,69000,103500
1400000US37019020505,Census Tract 205.05; Brunswick County; North Carolina,56091,44872.8,67309.2
1400000US37019020508,Census Tract 205.08; Brunswick County; North Carolina,96098,76878.4,115317.6
1400000US37019020510,Census Tract 205.10; Brunswick County; North Carolina,70278,56222.4,84333.6
1400000US37019020511,Census Tract 205.11; Brunswick County; North Carolina,86136,68908.8,103363.2
1400000US37019020512,Census Tract 205.12; Brunswick County; North Carolina,95781,76624.8,114937.2
1400000US37019020513,Census Tract 205.13; Brunswick County; North Carolina,66287,53029.6,79544.4
1400000US37019020514,Census Tract 205.14; Brunswick County; North Carolina,69417,55533.6,83300.4
1400000US37019020515,Census Tract 205.15; Brunswick County; North Carolina,65029,52023.2,78034.8
1400000US37019020516,Census Tract 205.16; Brunswick County; North Carolina,76583,61266.4,91899.6
1400000US37019020517,Census Tract 205.17; Brunswick County; North Carolina,65074,52059.2,78088.8
1400000US37019020518,Census Tract 205.18; Brunswick County; North Carolina,84659,67727.2,101590.8
1400000US37019020601,Census Tract 206.01; Brunswick County; North Carolina,53130,42504,63756
1400000US37019020602,Census Tract 206.02; Brunswick County; North Carolina,61776,49420.8,74131.2
1400000US37019020603,Census Tract 206.03; Brunswick County; North Carolina,63947,51157.6,76736.4
1400000US37019990100,Census Tract 9901; Brunswick County; North Carolina,-,#VALUE!,#VALUE!
1400000US37021000100,Census Tract 1; Buncombe County; North Carolina,19421,15536.8,23305.2
1400000US37021000200,Census Tract 2; Buncombe County; North Carolina,50250,40200,60300
1400000US37021000300,Census Tract 3; Buncombe County; North Carolina,46406,37124.8,55687.2
1400000US37021000400,Census Tract 4; Buncombe County; North Carolina,51591,41272.8,61909.2
1400000US37021000500,Census Tract 5; Buncombe County; North Carolina,108421,86736.8,130105.2
1400000US37021000600,Census Tract 6; Buncombe County; North Carolina,58171,46536.8,69805.2
1400000US37021000700,Census Tract 7; Buncombe County; North Carolina,65972,52777.6,79166.4
1400000US37021000800,Census Tract 8; Buncombe County; North Carolina,90446,72356.8,108535.2
1400000US37021000900,Census Tract 9; Buncombe County; North Carolina,24526,19620.8,29431.2
1400000US37021001000,Census Tract 10; Buncombe County; North Carolina,72664,58131.2,87196.8
1400000US37021001100,Census Tract 11; Buncombe County; North Carolina,87244,69795.2,104692.8
1400000US37021001200,Census Tract 12; Buncombe County; North Carolina,69401,55520.8,83281.2
1400000US37021001300,Census Tract 13; Buncombe County; North Carolina,46797,37437.6,56156.4
1400000US37021001401,Census Tract 14.01; Buncombe County; North Carolina,39259,31407.2,47110.8
1400000US37021001402,Census Tract 14.02; Buncombe County; North Carolina,41855,33484,50226
1400000US37021001500,Census Tract 15; Buncombe County; North Carolina,57788,46230.4,69345.6
1400000US37021001601,Census Tract 16.01; Buncombe County; North Carolina,98438,78750.4,118125.6
1400000US37021001602,Census Tract 16.02; Buncombe County; North Carolina,65268,52214.4,78321.6
1400000US37021001700,Census Tract 17; Buncombe County; North Carolina,109091,87272.8,130909.2
1400000US37021001801,Census Tract 18.01; Buncombe County; North Carolina,42800,34240,51360
1400000US37021001802,Census Tract 18.02; Buncombe County; North Carolina,98971,79176.8,118765.2
1400000US37021001900,Census Tract 19; Buncombe County; North Carolina,48732,38985.6,58478.4
1400000US37021002000,Census Tract 20; Buncombe County; North Carolina,57155,45724,68586
1400000US37021002101,Census Tract 21.01; Buncombe County; North Carolina,173036,138428.8,207643.2
1400000US37021002102,Census Tract 21.02; Buncombe County; North Carolina,53894,43115.2,64672.8
1400000US37021002203,Census Tract 22.03; Buncombe County; North Carolina,40909,32727.2,49090.8
1400000US37021002204,Census Tract 22.04; Buncombe County; North Carolina,70551,56440.8,84661.2
1400000US37021002205,Census Tract 22.05; Buncombe County; North Carolina,84779,67823.2,101734.8
1400000US37021002206,Census Tract 22.06; Buncombe County; North Carolina,80988,64790.4,97185.6
1400000US37021002303,Census Tract 23.03; Buncombe County; North Carolina,84715,67772,101658
1400000US37021002304,Census Tract 23.04; Buncombe County; North Carolina,142917,114333.6,171500.4
1400000US37021002305,Census Tract 23.05; Buncombe County; North Carolina,80020,64016,96024
1400000US37021002306,Census Tract 23.06; Buncombe County; North Carolina,62310,49848,74772
1400000US37021002401,Census Tract 24.01; Buncombe County; North Carolina,49539,39631.2,59446.8
1400000US37021002402,Census Tract 24.02; Buncombe County; North Carolina,53885,43108,64662
1400000US37021002503,Census Tract 25.03; Buncombe County; North Carolina,50804,40643.2,60964.8
1400000US37021002504,Census Tract 25.04; Buncombe County; North Carolina,65156,52124.8,78187.2
1400000US37021002505,Census Tract 25.05; Buncombe County; North Carolina,78929,63143.2,94714.8
1400000US37021002506,Census Tract 25.06; Buncombe County; North Carolina,50729,40583.2,60874.8
1400000US37021002603,Census Tract 26.03; Buncombe County; North Carolina,46008,36806.4,55209.6
1400000US37021002604,Census Tract 26.04; Buncombe County; North Carolina,71733,57386.4,86079.6
1400000US37021002606,Census Tract 26.06; Buncombe County; North Carolina,49688,39750.4,59625.6
1400000US37021002607,Census Tract 26.07; Buncombe County; North Carolina,67661,54128.8,81193.2
1400000US37021002608,Census Tract 26.08; Buncombe County; North Carolina,58766,47012.8,70519.2
1400000US37021002609,Census Tract 26.09; Buncombe County; North Carolina,69531,55624.8,83437.2
1400000US37021002701,Census Tract 27.01; Buncombe County; North Carolina,72571,58056.8,87085.2
1400000US37021002702,Census Tract 27.02; Buncombe County; North Carolina,70240,56192,84288
1400000US37021002704,Census Tract 27.04; Buncombe County; North Carolina,80000,64000,96000
1400000US37021002705,Census Tract 27.05; Buncombe County; North Carolina,84444,67555.2,101332.8
1400000US37021002803,Census Tract 28.03; Buncombe County; North Carolina,65714,52571.2,78856.8
1400000US37021002804,Census Tract 28.04; Buncombe County; North Carolina,68719,54975.2,82462.8
1400000US37021002900,Census Tract 29; Buncombe County; North Carolina,62823,50258.4,75387.6
1400000US37021003002,Census Tract 30.02; Buncombe County; North Carolina,70055,56044,84066
