GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,Median Household Income ,80% AMI ,120% AMI ,TimeFrame,GeoVintage,Source,Location
Census Tract,37019020311,NC,37019020311,37019020311,"70,788.00","56,630.40","84,945.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020312,NC,37019020312,37019020312,"71,092.00","56,873.60","85,310.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020313,NC,37019020313,37019020313,"94,018.00","75,214.40","112,821.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020314,NC,37019020314,37019020314,"137,120.00","109,696.00","164,544.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020315,NC,37019020315,37019020315,"75,052.00","60,041.60","90,062.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020316,NC,37019020316,37019020316,"120,263.00","96,210.40","144,315.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020404,NC,37019020404,37019020404,"46,220.00","36,976.00","55,464.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020405,NC,37019020405,37019020405,"56,287.00","45,029.60","67,544.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020406,NC,37019020406,37019020406,"106,375.00","85,100.00","127,650.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020407,NC,37019020407,37019020407,"86,964.00","69,571.20","104,356.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020408,NC,37019020408,37019020408,"39,063.00","31,250.40","46,875.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020409,NC,37019020409,37019020409,"59,821.00","47,856.80","71,785.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020504,NC,37019020504,37019020504,"86,250.00","69,000.00","103,500.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020505,NC,37019020505,37019020505,"56,091.00","44,872.80","67,309.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020508,NC,37019020508,37019020508,"96,098.00","76,878.40","115,317.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020510,NC,37019020510,37019020510,"70,278.00","56,222.40","84,333.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020511,NC,37019020511,37019020511,"86,136.00","68,908.80","103,363.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020512,NC,37019020512,37019020512,"95,781.00","76,624.80","114,937.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020513,NC,37019020513,37019020513,"66,287.00","53,029.60","79,544.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020514,NC,37019020514,37019020514,"69,417.00","55,533.60","83,300.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020515,NC,37019020515,37019020515,"65,029.00","52,023.20","78,034.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020516,NC,37019020516,37019020516,"76,583.00","61,266.40","91,899.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020517,NC,37019020517,37019020517,"65,074.00","52,059.20","78,088.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020518,NC,37019020518,37019020518,"84,659.00","67,727.20","101,590.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020601,NC,37019020601,37019020601,"53,130.00","42,504.00","63,756.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020602,NC,37019020602,37019020602,"61,776.00","49,420.80","74,131.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019020603,NC,37019020603,37019020603,"63,947.00","51,157.60","76,736.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37019990100,NC,37019990100,37019990100,N/A,#VALUE!,#VALUE!,2018-2022,2022,Census,North Carolina (State)
